W,thr,n,acc,cn,conf_share,acc_conf,resid_mean_conf,score
4.0,5.0,551,0.6805807622504537,194,0.35208711433756806,0.9484536082474226,2.7529137715108734,0.33393829401088926
4.0,6.0,551,0.6805807622504537,243,0.44101633393829404,0.9547325102880658,3.319585812013807,0.4210526315789474
4.0,8.0,551,0.6805807622504537,288,0.5226860254083484,0.9548611111111112,3.8731543505013244,0.49909255898366606
4.0,12.0,551,0.6805807622504537,339,0.6152450090744102,0.9557522123893806,4.709783319234486,0.5880217785843921
5.0,5.0,574,0.6916376306620209,197,0.343205574912892,0.9390862944162437,2.7799071314886907,0.32229965156794427
5.0,6.0,574,0.6916376306620209,245,0.4268292682926829,0.9469387755102041,3.325395846473155,0.40418118466898956
5.0,8.0,574,0.6916376306620209,298,0.519163763066202,0.9362416107382551,3.9619126089777827,0.4860627177700348
5.0,12.0,574,0.6916376306620209,359,0.6254355400696864,0.935933147632312,4.929658086043243,0.5853658536585366
6.0,5.0,588,0.6870748299319728,197,0.33503401360544216,0.9289340101522843,2.769611103798856,0.3112244897959184
6.0,6.0,588,0.6870748299319728,247,0.4200680272108844,0.9352226720647774,3.3341686140926963,0.3928571428571429
6.0,8.0,588,0.6870748299319728,303,0.5153061224489796,0.9207920792079208,3.9965382078293135,0.4744897959183673
6.0,12.0,588,0.6870748299319728,367,0.6241496598639455,0.9209809264305178,4.993446598393013,0.5748299319727891
8.0,5.0,594,0.6750841750841751,195,0.3282828282828283,0.9230769230769231,2.7713302630153684,0.30303030303030304
8.0,6.0,594,0.6750841750841751,244,0.4107744107744108,0.9262295081967213,3.3302863915476917,0.3804713804713805
8.0,8.0,594,0.6750841750841751,302,0.5084175084175084,0.9072847682119205,4.012678413819416,0.4612794612794613
8.0,12.0,594,0.6750841750841751,367,0.6178451178451179,0.9019073569482289,5.028802914002471,0.5572390572390572
12.0,5.0,597,0.6666666666666666,191,0.31993299832495814,0.9109947643979057,2.7451694553263746,0.2914572864321608
12.0,6.0,597,0.6666666666666666,240,0.4020100502512563,0.9125,3.3214187976324694,0.3668341708542714
12.0,8.0,597,0.6666666666666666,298,0.4991624790619765,0.8926174496644296,4.013047425613133,0.4455611390284757
12.0,12.0,597,0.6666666666666666,367,0.6147403685092128,0.8801089918256131,5.077056841231105,0.5410385259631492
20.0,5.0,599,0.654424040066778,191,0.31886477462437396,0.8848167539267016,2.736376672491953,0.28213689482470783
20.0,6.0,599,0.654424040066778,239,0.3989983305509182,0.8870292887029289,3.3020713180244305,0.3539232053422371
20.0,8.0,599,0.654424040066778,298,0.4974958263772955,0.87248322147651,4.004724497521085,0.4340567612687813
20.0,12.0,599,0.654424040066778,370,0.6176961602671118,0.8621621621621621,5.1113487664306705,0.5325542570951586
