W,thr,n,acc,cn,conf_share,acc_conf,resid_mean_conf,score
4.0,5.0,526,0.6673003802281369,195,0.37072243346007605,0.9692307692307692,2.896454826482134,0.3593155893536122
4.0,6.0,526,0.6673003802281369,243,0.4619771863117871,0.9629629629629629,3.409963209279261,0.4448669201520912
4.0,8.0,526,0.6673003802281369,288,0.5475285171102662,0.9652777777777778,3.953661042007041,0.5285171102661598
4.0,12.0,526,0.6673003802281369,337,0.6406844106463878,0.9614243323442137,4.772803712053438,0.6159695817490494
5.0,5.0,554,0.6877256317689531,200,0.36101083032490977,0.97,2.9169924243279413,0.3501805054151625
5.0,6.0,554,0.6877256317689531,250,0.45126353790613716,0.96,3.432915246319473,0.43321299638989164
5.0,8.0,554,0.6877256317689531,301,0.5433212996389891,0.9601328903654485,4.026973776176081,0.5216606498194946
5.0,12.0,554,0.6877256317689531,362,0.6534296028880866,0.9392265193370166,4.97332357659555,0.6137184115523465
6.0,5.0,563,0.6749555950266429,197,0.34991119005328597,0.9543147208121827,2.8861569055194223,0.3339253996447602
6.0,6.0,563,0.6749555950266429,248,0.4404973357015986,0.9435483870967742,3.422077596166991,0.41563055062166965
6.0,8.0,563,0.6749555950266429,300,0.5328596802841918,0.9433333333333334,4.030987357363397,0.502664298401421
6.0,12.0,563,0.6749555950266429,365,0.6483126110124334,0.9178082191780822,5.028744963934995,0.5950266429840142
8.0,5.0,576,0.6753472222222222,199,0.3454861111111111,0.9547738693467337,2.864978429195683,0.3298611111111111
8.0,6.0,576,0.6753472222222222,251,0.4357638888888889,0.9442231075697212,3.410935728697449,0.41145833333333337
8.0,8.0,576,0.6753472222222222,305,0.5295138888888888,0.9377049180327869,4.037065491473884,0.49652777777777773
8.0,12.0,576,0.6753472222222222,372,0.6458333333333334,0.9086021505376344,5.058293921156616,0.5868055555555556
12.0,5.0,584,0.6626712328767124,199,0.3407534246575342,0.9346733668341709,2.885207325184757,0.3184931506849315
12.0,6.0,584,0.6626712328767124,248,0.4246575342465753,0.9274193548387096,3.3995876500048032,0.39383561643835613
12.0,8.0,584,0.6626712328767124,300,0.5136986301369864,0.92,4.017620935049221,0.47260273972602745
12.0,12.0,584,0.6626712328767124,370,0.6335616438356164,0.8864864864864865,5.09504727804555,0.5616438356164384
20.0,5.0,588,0.641156462585034,199,0.33843537414965985,0.9095477386934674,2.8558223779633853,0.3078231292517007
20.0,6.0,588,0.641156462585034,247,0.4200680272108844,0.902834008097166,3.3681352839242567,0.37925170068027214
20.0,8.0,588,0.641156462585034,303,0.5153061224489796,0.8844884488448845,4.037197890407696,0.4557823129251701
20.0,12.0,588,0.641156462585034,376,0.6394557823129252,0.8404255319148937,5.168791158424979,0.5374149659863946
