match_id,team,player_id,player,primary_role,minutes_played,total_touches,passes_attempted,passes_successful,passes_failed,pass_completion_pct,passes_under_pressure,avg_dist_all_passes,avg_dist_successful,avg_dist_failed,through_balls,switches_of_play,crosses,assists,key_passes,carries,shots,shots_on_target,goals,xg_total,dribbles_attempted,dribbles_successful,ball_recoveries,interceptions,tackles_won,aerial_won,clearances,blocks,fouls_committed,fouls_won,dispossessed,miscontrols
3938639,Turkey,133305.0,Samet Akaydin,Right Center Back,96,200,73,66,7,90.4,6,20.11,18.5,35.22,0,0,0,0,0,50,0,0,0,0.0,0,0,4,1,0,0,2,3,0,0,0,0
3938640,Slovakia,43976.0,David Strelec,Center Forward,22,26,6,4,2,66.7,0,12.0,13.09,9.83,0,0,1,0,0,6,0,0,0,0.0,2,2,0,0,0,0,0,1,0,0,0,1
3938640,Slovakia,16298.0,Denis Vavro,Right Center Back,94,224,85,75,10,88.2,4,28.39,25.79,47.95,0,6,1,0,0,57,1,0,0,0.041888792,0,0,2,0,0,0,1,2,0,0,0,0
3938640,Slovakia,16879.0,Dávid Hancko,Left Back,66,125,45,35,10,77.8,1,17.05,16.13,20.25,0,1,2,0,0,33,1,1,0,0.078277074,2,1,2,0,0,0,1,1,1,1,1,1
3938640,Slovakia,28032.0,Ivan Schranz,Right Wing,82,124,32,28,4,87.5,3,13.78,12.31,24.08,0,0,1,0,0,30,3,2,1,0.282178526,2,0,1,0,1,0,0,1,1,1,0,1
3938640,Slovakia,10919.0,Juraj Kucka,Right Center Midfield,93,137,37,32,5,86.5,3,11.82,11.48,14.05,0,0,0,0,2,33,3,0,0,0.0785735185,2,0,3,0,0,0,1,0,1,1,2,0
3938640,Slovakia,7975.0,Lukáš Haraslín,Left Wing,65,91,20,14,6,70.0,3,19.43,15.36,28.92,0,1,4,1,1,24,2,2,0,0.116472721,4,4,0,0,0,0,1,0,1,1,0,2
3938640,Slovakia,3711.0,Martin Dúbravka,Goalkeeper,86,105,38,32,6,84.2,3,25.52,19.08,59.84,0,1,0,0,0,23,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0
3938640,Slovakia,6990.0,Milan Škriniar,Left Center Back,94,302,108,102,6,94.4,3,22.81,21.5,45.18,0,5,0,0,1,83,1,0,0,0.01799174,0,0,6,2,0,0,0,0,1,2,0,0
3938640,Slovakia,8967.0,Ondrej Duda,Left Center Midfield,59,124,40,36,4,90.0,8,18.36,18.09,20.82,0,1,0,0,1,24,1,0,0,0.02533847,0,0,0,0,0,0,1,0,1,1,1,1
3938640,Slovakia,9722.0,Peter Pekarík,Right Back,93,146,47,38,9,80.9,4,16.38,15.08,21.87,0,1,2,0,0,33,1,0,0,0.024953041,1,0,2,0,0,0,2,4,0,0,0,1
3938640,Slovakia,34904.0,Róbert Boženík,Center Forward,59,58,7,6,1,85.7,1,20.91,19.19,31.21,0,0,0,0,0,6,0,0,0,0.0,0,0,0,0,0,0,2,0,2,1,1,1
3938640,Slovakia,6798.0,Stanislav Lobotka,Center Defensive Midfield,94,257,83,79,4,95.2,10,18.86,18.88,18.49,0,0,0,0,2,69,0,0,0,0.0,1,1,6,0,0,0,2,1,1,3,1,0
3938640,Slovakia,35653.0,Tomáš Suslov,Left Wing,27,47,5,5,0,100.0,0,20.17,20.17,0.0,0,0,1,0,1,11,0,0,0,0.0,4,2,2,0,0,0,0,1,0,2,2,1
3938640,Ukraine,37330.0,Anatolii Trubin,Goalkeeper,95,121,40,35,5,87.5,3,26.18,20.65,64.91,0,0,0,0,0,30,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0
3938640,Ukraine,8830.0,Andriy Yarmolenko,Right Midfield,66,94,29,22,7,75.9,2,20.19,16.35,32.25,1,1,2,0,0,24,2,0,0,0.451105,0,0,4,1,0,0,1,1,1,2,0,0
3938640,Ukraine,25079.0,Artem Dovbyk,Center Forward,64,55,9,9,0,100.0,0,11.25,11.25,0.0,0,0,0,0,1,12,2,0,0,0.375410177,2,2,3,0,0,0,0,0,2,1,1,0
3938640,Ukraine,38975.0,Georgiy Sudakov,Center Attacking Midfield,89,107,28,27,1,96.4,4,20.19,20.07,23.32,0,2,0,0,1,28,1,0,0,0.03816442,3,2,2,0,0,0,0,1,0,2,1,1
3938640,Ukraine,39136.0,Illia Zabarnyi,Right Center Back,92,205,68,57,11,83.8,9,28.28,25.93,40.48,0,3,0,0,1,62,0,0,0,0.0,0,0,2,1,1,0,2,2,0,0,0,1
3938640,Ukraine,39483.0,Mykhailo Mudryk,Left Midfield,83,85,15,12,3,80.0,2,21.2,23.82,10.71,0,1,2,0,3,20,3,1,0,0.143444616,3,2,3,1,1,0,1,0,0,0,0,3
3938640,Ukraine,18617.0,Mykola Matvienko,Left Center Back,92,223,76,72,4,94.7,3,27.05,25.37,57.26,0,3,0,0,1,66,0,0,0,0.0,0,0,2,0,0,0,3,2,0,2,0,0
3938640,Ukraine,21294.0,Mykola Shaparenko,Right Defensive Midfield,91,159,38,31,7,81.6,8,18.58,17.57,23.03,1,0,0,1,0,37,1,1,1,0.23976156,1,0,1,3,0,0,0,2,3,0,2,0
3938640,Ukraine,45863.0,Oleksandr Tymchyk,Right Back,89,116,37,26,11,70.3,2,20.68,18.33,26.25,0,2,4,0,0,23,0,0,0,0.0,0,0,4,2,0,0,3,1,1,1,1,0
3938640,Ukraine,3575.0,Oleksandr Zinchenko,Left Back,91,171,55,44,11,80.0,9,23.12,22.49,25.63,0,5,3,1,0,42,1,1,0,0.0076609575,1,1,2,1,1,0,3,3,0,1,0,1
3938640,Ukraine,23649.0,Roman Yaremchuk,Center Forward,26,41,7,6,1,85.7,2,14.48,8.48,50.5,0,0,0,0,1,8,2,1,1,0.45032907,0,0,0,0,0,0,1,1,2,0,0,1
3938640,Ukraine,144127.0,Volodymyr Brazhko,Left Defensive Midfield,81,138,41,35,6,85.4,9,18.94,18.69,20.36,0,0,0,0,0,34,1,1,0,0.02577948,0,0,2,1,0,0,2,2,2,0,0,1
3938641,Austria,39545.0,Alexander Prass,Left Back,24,25,9,9,0,100.0,0,19.04,19.04,0.0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3938641,Austria,24977.0,Christoph Baumgartner,Right Wing,79,165,34,26,8,76.5,11,16.7,15.78,19.68,1,1,1,0,3,33,1,1,1,0.14242558,1,1,2,1,0,0,1,0,0,4,2,0
3938641,Austria,11396.0,Florian Grillitsch,Left Defensive Midfield,45,121,39,31,8,79.5,9,18.81,16.83,26.47,1,0,0,0,0,28,0,0,0,0.0,0,0,1,2,0,0,0,1,0,1,0,0
3938641,Austria,8778.0,Gernot Trauner,Right Center Back,57,126,42,41,1,97.6,5,19.92,19.2,49.43,0,0,0,0,0,29,1,1,1,0.12611173,0,0,1,1,0,0,0,2,2,0,0,0
3938641,Austria,11820.0,Kevin Danso,Right Center Back,34,36,12,11,1,91.7,2,25.5,20.33,82.41,0,0,0,0,0,8,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1,0,1
3938641,Austria,8506.0,Konrad Laimer,Left Defensive Midfield,93,170,42,37,5,88.1,8,16.3,16.84,12.33,0,1,0,0,1,38,1,0,0,0.16341422,2,2,6,1,0,0,0,1,2,0,1,0
3938641,Austria,8518.0,Marcel Sabitzer,Left Wing,91,157,42,28,14,66.7,9,20.32,16.63,27.71,1,3,4,0,0,39,5,1,0,0.373966813,2,2,7,2,0,0,0,2,0,2,0,0
3938641,Austria,3325.0,Marko Arnautović,Center Forward,80,104,16,13,3,81.2,7,17.2,14.29,29.81,0,0,0,1,0,15,1,1,1,0.7835,0,0,1,0,0,0,2,0,1,3,0,3
3938641,Austria,8309.0,Michael Gregoritsch,Right Center Forward,11,33,7,7,0,100.0,3,22.78,22.78,0.0,0,0,0,0,0,8,0,0,0,0.0,1,0,1,0,0,0,0,0,2,0,0,0
3938641,Austria,39460.0,Nicolas Seiwald,Right Defensive Midfield,92,169,45,42,3,93.3,8,17.1,16.83,20.89,0,1,2,0,4,39,1,1,0,0.033934437,0,0,5,3,1,0,1,2,0,0,0,0
3938641,Austria,9731.0,Patrick Pentz,Goalkeeper,87,121,39,30,9,76.9,5,35.47,26.18,66.44,0,3,0,0,0,29,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0
3938641,Austria,33297.0,Patrick Wimmer,Right Wing,48,82,16,12,4,75.0,6,19.64,21.34,14.56,0,2,0,0,1,14,1,1,0,0.062519945,0,0,2,1,0,0,0,2,1,1,2,1
3938641,Austria,8931.0,Philipp Lienhart,Left Center Back,92,126,40,37,3,92.5,5,20.18,19.52,28.35,0,1,0,0,0,31,0,0,0,0.0,0,0,2,6,0,0,3,2,1,2,1,1
3938641,Austria,13315.0,Philipp Mwene,Left Back,62,165,50,41,9,82.0,5,20.15,17.45,32.45,0,1,5,1,0,48,0,0,0,0.0,2,1,6,1,0,0,0,2,0,1,1,1
3938641,Austria,8784.0,Romano Schmid,Left Midfield,11,30,7,6,1,85.7,1,13.56,14.72,6.6,1,0,1,0,1,5,0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,0,0
3938641,Austria,11821.0,Stefan Posch,Right Back,93,197,49,41,8,83.7,9,21.79,18.1,40.67,0,0,1,0,0,43,4,3,0,0.135825531,1,0,5,3,0,0,3,10,5,0,2,2
3938641,Poland,7663.0,Adam Buksa,Left Center Forward,59,57,5,4,1,80.0,0,22.51,24.07,16.31,0,1,0,0,1,5,1,0,0,0.01743585,0,0,1,0,0,0,0,2,1,1,1,2
3938641,Poland,15859.0,Bartosz Slisz,Center Defensive Midfield,74,129,33,28,5,84.8,7,15.5,14.45,21.41,1,0,0,0,1,30,0,0,0,0.0,0,0,4,1,0,0,3,2,3,2,0,0
3938641,Poland,29480.0,Jakub Moder,Left Center Midfield,47,82,21,19,2,90.5,3,13.33,11.55,30.24,0,0,0,0,0,21,0,0,0,0.0,0,0,1,0,0,0,1,3,1,2,1,1
3938641,Poland,44166.0,Jakub Piotr Kiwior,Left Center Back,92,170,57,49,8,86.0,5,17.8,17.33,20.7,0,0,1,0,1,39,0,0,0,0.0,2,2,3,2,0,0,2,3,0,0,1,0
3938641,Poland,4626.0,Jan Bednarek,Right Center Back,93,123,45,38,7,84.4,2,21.82,19.61,33.78,0,2,0,0,0,27,1,0,0,0.20368662,0,0,4,0,0,0,1,5,0,3,0,0
3938641,Poland,33680.0,Kacper Urbanski,Left Defensive Midfield,6,28,5,4,1,80.0,1,17.5,15.79,24.34,0,0,0,0,0,7,0,0,0,0.0,0,0,2,0,2,0,0,0,1,0,1,1
3938641,Poland,8836.0,Karol Świderski,Right Center Forward,32,33,5,4,1,80.0,3,19.09,19.9,15.88,0,0,0,0,0,3,1,1,0,0.07291489,0,0,1,0,0,0,0,1,0,0,0,0
3938641,Poland,50502.0,Nicola Zalewski,Left Wing Back,89,152,47,33,14,70.2,6,14.95,14.52,15.98,0,0,1,0,0,41,1,0,0,0.09912066,4,3,5,1,0,0,0,0,0,3,0,1
3938641,Poland,30739.0,Paweł Dawidowicz,Center Back,89,141,41,39,2,95.1,6,20.23,18.94,45.31,0,0,0,0,0,31,1,0,0,0.06839087,0,0,4,0,0,0,9,1,4,0,0,0
3938641,Poland,5660.0,Piotr Zieliński,Right Center Midfield,86,174,49,38,11,77.6,11,17.65,14.4,28.91,0,4,3,0,3,45,6,1,0,0.317260627,4,3,6,0,0,0,1,1,0,0,2,1
3938641,Poland,7979.0,Przemysław Frankowski,Right Wing Back,92,155,46,32,14,69.6,7,17.96,16.3,21.76,0,0,5,0,3,37,0,0,0,0.0,1,1,2,2,0,0,2,2,1,1,0,1
3938641,Poland,5668.0,Robert Lewandowski,Left Center Forward,32,39,5,5,0,100.0,2,16.94,16.94,0.0,0,0,0,0,1,8,0,0,0,0.0,2,1,1,0,0,0,0,0,2,2,1,0
3938641,Poland,5669.0,Wojciech Szczęsny,Goalkeeper,92,88,34,26,8,76.5,7,35.65,28.15,60.02,0,2,0,0,0,16,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
3938642,Czech Republic,28239.0,Adam Hložek,Left Attacking Midfield,53,86,12,12,0,100.0,3,13.97,13.97,0.0,0,0,0,0,0,15,3,3,0,0.456986913,2,0,1,0,1,0,0,1,2,1,1,1
3938642,Czech Republic,134272.0,David Jurásek,Left Wing Back,79,170,53,36,17,67.9,6,17.62,16.7,19.58,0,1,6,0,2,41,2,0,0,0.062426904000000005,3,1,8,0,0,0,2,2,1,0,0,3
3938642,Czech Republic,28040.0,Jindřich Staněk,Goalkeeper,90,34,14,13,1,92.9,0,21.98,18.57,66.4,0,0,0,0,0,7,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0
3938642,Czech Republic,28272.0,Ladislav Krejčí,Left Center Back,94,252,83,70,13,84.3,5,22.31,20.29,33.19,0,2,1,0,2,61,4,0,0,0.146644327,0,0,4,2,2,0,1,3,3,0,0,0
3938642,Czech Republic,28034.0,Lukáš Provod,Left Defensive Midfield,79,152,42,35,7,83.3,9,17.18,17.54,15.34,0,0,0,0,0,33,1,0,0,0.029279253,2,0,4,1,1,0,1,2,3,3,1,0
3938642,Czech Republic,32985.0,Mojmír Chytil,Center Forward,25,27,2,2,0,100.0,0,15.1,15.1,0.0,0,0,0,0,0,3,1,0,0,0.066270776,0,0,1,0,0,0,0,0,0,1,0,2
3938642,Czech Republic,7044.0,Patrik Schick,Center Forward,67,123,22,18,4,81.8,4,13.49,13.15,15.05,0,0,1,0,1,20,7,4,1,1.1934658219999998,0,0,4,0,0,0,1,1,0,1,2,0
3938642,Czech Republic,81330.0,Robin Hranáč,Center Back,92,162,55,49,6,89.1,2,22.15,21.16,30.23,0,2,0,0,1,36,0,0,0,0.0,0,0,3,0,0,0,2,2,3,0,0,0
3938642,Czech Republic,16469.0,Tomáš Holeš,Right Center Back,94,189,60,53,7,88.3,3,20.57,19.94,25.38,0,1,3,0,1,49,1,0,0,0.01932125,0,0,3,0,1,0,3,2,1,2,0,0
3938642,Czech Republic,4870.0,Tomáš Souček,Right Defensive Midfield,92,159,44,40,4,90.9,4,17.97,18.38,13.83,0,1,1,0,3,31,0,0,0,0.0,0,0,3,0,0,0,0,1,2,2,1,2
3938642,Czech Republic,16570.0,Vladimír Coufal,Right Wing Back,92,208,77,58,19,75.3,3,19.82,15.47,33.11,0,4,8,0,5,52,0,0,0,0.0,1,0,4,0,0,0,2,2,1,0,1,1
3938642,Georgia,264017.0,Anzor Mekvabishvili,Right Defensive Midfield,93,139,37,29,8,78.4,6,16.0,16.48,14.26,0,0,2,0,0,36,1,0,0,0.05346131,0,0,3,2,0,0,2,3,3,1,0,0
3938642,Georgia,33234.0,Georges Mikautadze,Center Forward,87,117,19,16,3,84.2,5,17.61,17.18,19.91,0,2,0,0,0,28,1,1,1,0.7835,3,2,5,0,0,0,0,1,1,5,3,2
3938642,Georgia,23646.0,Giorgi Chakvetadze,Right Wing,32,55,13,10,3,76.9,1,17.0,15.52,21.94,0,0,0,0,2,13,0,0,0,0.0,0,0,2,0,1,0,0,0,1,0,3,0
3938642,Georgia,398886.0,Giorgi Gvelesiani,Right Center Back,12,16,4,3,1,75.0,0,20.3,15.83,33.71,0,0,0,0,0,3,0,0,0,0.0,0,0,2,0,0,0,3,1,0,0,0,0
3938642,Georgia,41202.0,Giorgi Kochorashvili,Left Defensive Midfield,94,156,43,42,1,97.7,10,19.09,19.11,18.19,0,0,0,0,0,40,0,0,0,0.0,3,2,5,3,1,0,1,0,3,2,0,0
