competition_id,season,team_id,team_name,team_relative_url,team_url
EURO,2024,3262,Germany,/deutschland/startseite/verein/3262,https://www.transfermarkt.com/deutschland/startseite/verein/3262
EURO,2024,3299,England,/england/startseite/verein/3299,https://www.transfermarkt.com/england/startseite/verein/3299
EURO,2024,3300,Portugal,/portugal/startseite/verein/3300,https://www.transfermarkt.com/portugal/startseite/verein/3300
EURO,2024,3375,Spain,/spanien/startseite/verein/3375,https://www.transfermarkt.com/spanien/startseite/verein/3375
EURO,2024,3376,Italy,/italien/startseite/verein/3376,https://www.transfermarkt.com/italien/startseite/verein/3376
EURO,2024,3377,France,/frankreich/startseite/verein/3377,https://www.transfermarkt.com/frankreich/startseite/verein/3377
EURO,2024,3379,Netherlands,/niederlande/startseite/verein/3379,https://www.transfermarkt.com/niederlande/startseite/verein/3379
EURO,2024,3380,Scotland,/schottland/startseite/verein/3380,https://www.transfermarkt.com/schottland/startseite/verein/3380
EURO,2024,3381,Turkiye,/turkei/startseite/verein/3381,https://www.transfermarkt.com/turkei/startseite/verein/3381
EURO,2024,3382,Belgium,/belgien/startseite/verein/3382,https://www.transfermarkt.com/belgien/startseite/verein/3382
EURO,2024,3383,Austria,/osterreich/startseite/verein/3383,https://www.transfermarkt.com/osterreich/startseite/verein/3383
EURO,2024,3384,Switzerland,/schweiz/startseite/verein/3384,https://www.transfermarkt.com/schweiz/startseite/verein/3384
EURO,2024,3436,Denmark,/danemark/startseite/verein/3436,https://www.transfermarkt.com/danemark/startseite/verein/3436
EURO,2024,3438,Serbia,/serbien/startseite/verein/3438,https://www.transfermarkt.com/serbien/startseite/verein/3438
EURO,2024,3442,Poland,/polen/startseite/verein/3442,https://www.transfermarkt.com/polen/startseite/verein/3442
EURO,2024,3445,Czechia,/tschechien/startseite/verein/3445,https://www.transfermarkt.com/tschechien/startseite/verein/3445
EURO,2024,3447,Romania,/rumanien/startseite/verein/3447,https://www.transfermarkt.com/rumanien/startseite/verein/3447
EURO,2024,3468,Hungary,/ungarn/startseite/verein/3468,https://www.transfermarkt.com/ungarn/startseite/verein/3468
EURO,2024,3503,Slovakia,/slowakei/startseite/verein/3503,https://www.transfermarkt.com/slowakei/startseite/verein/3503
EURO,2024,3556,Croatia,/kroatien/startseite/verein/3556,https://www.transfermarkt.com/kroatien/startseite/verein/3556
EURO,2024,3561,Albania,/albanien/startseite/verein/3561,https://www.transfermarkt.com/albanien/startseite/verein/3561
EURO,2024,3588,Slovenia,/slowenien/startseite/verein/3588,https://www.transfermarkt.com/slowenien/startseite/verein/3588
EURO,2024,3669,Georgia,/georgien/startseite/verein/3669,https://www.transfermarkt.com/georgien/startseite/verein/3669
EURO,2024,3699,Ukraine,/ukraine/startseite/verein/3699,https://www.transfermarkt.com/ukraine/startseite/verein/3699
